season,week,date,away_team,home_team,home_score,away_score,home_line_open,home_line_close,home_ml_open,home_ml_close,away_ml_open,away_ml_close,total_open,total_close
2023,4,2023-10-01,CIN,TEN,27,3,1.5,2.5,2,2.25,1.833,1.6890000000000001,44,41
2023,4,2023-10-01,ATL,JAX,23,7,-3.5,-3.0,1.571,1.5880000000000001,2.5499999999999998,2.5,45.5,42.5
2023,4,2023-10-02,SEA,NYG,3,24,1.0,1.5,1.952,2.1,1.869,1.7689999999999999,45,47
2023,5,2023-10-05,CHI,WAS,20,40,-5.0,-6.0,1.454,1.37,2.8,3.2,42.5,44.5
2023,5,2023-10-08,DAL,SF,42,10,-3.0,-3.5,1.625,1.54,2.4,2.65,45.5,45.5
2023,5,2023-10-08,NYJ,DEN,21,31,-3.0,-2.0,1.6060000000000001,1.7689999999999999,2.4500000000000002,2.1,40,42.5
2023,5,2023-10-08,KC,MIN,20,27,6.0,3.5,3.2,2.6,1.37,1.5549999999999999,52,52.5
2023,5,2023-10-08,CIN,ARI,20,34,7.0,3.0,4.0999999999999996,2.5,1.256,1.5880000000000001,42.5,45
2023,5,2023-10-08,PHI,LA,14,23,6.0,3.5,3.05,2.65,1.4079999999999999,1.54,46.5,50.5
2023,5,2023-10-08,HOU,ATL,21,19,-3.5,-2.5,1.52,1.714,2.67,2.2000000000000002,41.5,42
2023,5,2023-10-08,CAR,DET,42,24,-7.5,-9.0,1.2849999999999999,1.222,3.75,4.5,43.5,43.5
2023,5,2023-10-08,TEN,IND,23,16,-1.0,2.5,1.833,2.2000000000000002,2,1.714,42.5,43.5
2023,5,2023-10-08,NYG,MIA,31,16,-10.0,-13.0,1.2,1.125,4.75,6.5,49.5,47.5
2023,5,2023-10-08,NO,NE,0,34,-2.5,-1.5,1.7689999999999999,1.833,2.1,2,40.5,38.5
2023,5,2023-10-08,BAL,PIT,17,10,2.5,4.5,2.1,2.8,1.7689999999999999,1.454,41.5,38.5
2023,5,2023-10-08,JAX,BUF,20,25,-3.5,-5.0,1.6060000000000001,1.4079999999999999,2.4500000000000002,3.05,48.5,48.5
2023,5,2023-10-09,GB,LV,17,13,1.0,-2.0,1.952,1.7689999999999999,1.869,2.1,43.5,45
2023,6,2023-10-12,DEN,KC,19,8,-10.0,-10.5,1.181,1.1659999999999999,5.25,5.5,51.5,47.5
2023,6,2023-10-15,NYG,BUF,14,9,-12.0,-15.0,1.153,1.0760000000000001,5.75,9,48,43.5
2023,6,2023-10-15,ARI,LA,26,9,-4.5,-7.0,1.476,1.294,2.75,3.7,46.5,48
2023,6,2023-10-15,PHI,NYJ,20,14,6.5,6.5,3.1,3.4,1.4,1.333,42.5,43.5
2023,6,2023-10-15,DET,TB,6,20,3.0,3.0,2.4,2.4,1.625,1.625,45.5,43
2023,6,2023-10-15,NE,LV,21,17,-1.5,-3.0,1.8,1.6659999999999999,2.0499999999999998,2.2999999999999998,42.5,41.5
2023,6,2023-10-15,WAS,ATL,16,24,-1.5,-1.5,1.833,1.8,2,2.0499999999999998,42,42
2023,6,2023-10-15,MIN,CHI,13,19,4.5,3.0,2.7,2.4,1.5,1.625,48.5,44.5
2023,6,2023-10-15,SEA,CIN,17,13,-2.5,-3.0,1.6890000000000001,1.625,2.25,2.4,44,45.5
2023,6,2023-10-15,SF,CLE,19,17,3.0,9.5,2.4,4.75,1.625,1.2,41.5,36
