season,week,game_id,team,opp,is_home,off_plays,off_epa,off_pass_plays,off_pass_epa,off_rush_plays,off_rush_epa,off_success,off_plays_gt,off_epa_gt
2013,3,2013_03_CLE_MIN,MIN,CLE,1,79,-11.5032,48,-14.7578,31,3.2546,30,79,-11.5032
2013,3,2013_03_DET_WAS,DET,WAS,0,66,9.2858,43,12.5339,23,-3.2481,29,63,11.3201
2013,3,2013_03_DET_WAS,WAS,DET,1,74,0.7741,52,3.8621,22,-3.088,31,72,0.4688
2013,3,2013_03_GB_CIN,CIN,GB,1,54,-7.6541,32,-2.1906,22,-5.4635,24,54,-7.6541
2013,3,2013_03_GB_CIN,GB,CIN,0,77,-9.8021,47,-6.9223,30,-2.8798,35,77,-9.8021
2013,3,2013_03_HOU_BAL,BAL,HOU,1,57,0.7596,26,7.5384,31,-6.7788,19,34,1.8523
2013,3,2013_03_HOU_BAL,HOU,BAL,0,61,-14.2758,38,-11.8217,23,-2.4541,28,50,-11.548
2013,3,2013_03_IND_SF,IND,SF,0,66,11.1864,27,4.8023,39,6.3841,32,62,10.3765
2013,3,2013_03_IND_SF,SF,IND,1,52,-9.0352,30,-9.6026,22,0.5674,21,39,-3.3789
2013,3,2013_03_JAX_SEA,JAX,SEA,0,66,-15.5704,41,-8.5999,25,-6.9705,22,28,-13.5158
2013,3,2013_03_JAX_SEA,SEA,JAX,1,65,12.9913,31,12.4943,34,0.497,37,35,4.8979
2013,3,2013_03_KC_PHI,KC,PHI,0,74,2.2132,39,9.2249,35,-7.0116,33,69,6.1892
2013,3,2013_03_KC_PHI,PHI,KC,1,64,-11.7651,36,-18.2876,28,6.5226,27,56,-6.0759
2013,3,2013_03_NYG_CAR,CAR,NYG,1,72,12.4111,28,7.4365,44,4.9746,33,42,5.7284
2013,3,2013_03_NYG_CAR,NYG,CAR,0,50,-23.5186,34,-20.7038,16,-2.8148,14,25,-13.0339
2013,3,2013_03_OAK_DEN,DEN,LV,1,71,18.7684,38,18.2549,33,0.5135,44,31,14.9093
2013,3,2013_03_OAK_DEN,LV,DEN,0,51,7.7752,34,12.231,17,-4.4558,20,22,-0.6453
2013,3,2013_03_SD_TEN,LAC,TEN,0,53,9.3666,26,7.5296,27,1.8371,29,53,9.3666
2013,3,2013_03_SD_TEN,TEN,LAC,1,67,9.8903,38,6.5019,29,3.3885,34,67,9.8903
2013,3,2013_03_STL_DAL,DAL,LA,1,59,13.7854,25,10.9951,34,2.7902,31,32,11.3506
2013,3,2013_03_STL_DAL,LA,DAL,0,67,-26.2073,55,-24.088,12,-2.1193,24,22,-16.2405
2013,3,2013_03_TB_NE,NE,TB,1,69,0.8738,39,3.1312,30,-2.2573,30,45,9.6039
2013,3,2013_03_TB_NE,TB,NE,0,66,-10.4852,44,-7.7164,22,-2.7688,26,44,-7.3366
2013,4,2013_04_ARI_TB,ARI,TB,0,57,-11.5641,39,-4.7383,18,-6.8258,21,57,-11.5641
2013,4,2013_04_ARI_TB,TB,ARI,1,75,-16.9793,45,-10.1941,30,-6.7853,25,75,-16.9793
2013,4,2013_04_BAL_BUF,BAL,BUF,0,63,-16.7102,54,-14.0813,9,-2.6289,17,63,-16.7102
2013,4,2013_04_BAL_BUF,BUF,BAL,1,74,-11.9251,24,-7.6371,50,-4.288,29,74,-11.9251
2013,4,2013_04_CHI_DET,CHI,DET,0,68,-3.5449,52,-7.9389,16,4.394,28,38,-10.1061
2013,4,2013_04_CHI_DET,DET,CHI,1,63,-3.4654,36,-4.0029,27,0.5375,31,42,5.6759
2013,4,2013_04_CIN_CLE,CIN,CLE,0,64,-17.0626,44,-10.3218,20,-6.7408,20,54,-11.3635
2013,4,2013_04_CIN_CLE,CLE,CIN,1,68,5.2103,41,8.6547,27,-3.4444,30,65,7.9466
2013,4,2013_04_DAL_SD,DAL,LAC,0,56,2.4201,40,-4.463,16,6.8831,32,52,2.4192
2013,4,2013_04_DAL_SD,LAC,DAL,1,70,8.8156,43,10.1283,27,-1.3127,37,65,10.2606
2013,4,2013_04_IND_JAX,IND,JAX,0,70,14.0152,40,10.9164,30,3.0988,29,42,7.0577
2013,4,2013_04_IND_JAX,JAX,IND,1,54,-29.6267,36,-23.1282,18,-6.4984,15,29,-21.7807
2013,4,2013_04_MIA_NO,MIA,NO,0,57,-7.524,39,-6.2472,18,-1.2768,26,31,-2.0989
2013,4,2013_04_MIA_NO,NO,MIA,1,62,16.8247,41,24.6567,21,-7.8319,34,39,13.206
2013,4,2013_04_NE_ATL,ATL,NE,1,71,3.8779,56,4.4404,15,-0.5625,34,63,-0.6477
2013,4,2013_04_NE_ATL,NE,ATL,0,59,19.2096,31,19.392,28,-0.1823,29,51,22.9508
2013,4,2013_04_NYG_KC,KC,NYG,1,67,0.8666,42,6.1702,25,-5.3035,27,58,-7.5148
2013,4,2013_04_NYG_KC,NYG,KC,0,61,-13.813,40,-6.8992,21,-6.9138,22,49,-10.2227
2013,4,2013_04_NYJ_TEN,NYJ,TEN,0,62,-16.1073,39,-8.0876,23,-8.0197,25,28,-10.5401
2013,4,2013_04_NYJ_TEN,TEN,NYJ,1,63,5.0331,34,13.1568,29,-8.1237,21,41,11.4697
2013,4,2013_04_PHI_DEN,DEN,PHI,1,70,22.3806,38,19.7373,32,2.6433,42,43,14.1078
2013,4,2013_04_PHI_DEN,PHI,DEN,0,68,14.4996,34,10.7475,34,3.7521,31,45,10.6161
2013,4,2013_04_PIT_MIN,MIN,PIT,1,50,21.6953,26,14.8862,24,6.809,23,41,25.4211
2013,4,2013_04_PIT_MIN,PIT,MIN,0,74,12.2164,53,10.5504,21,1.6659,40,62,7.1485
2013,4,2013_04_SEA_HOU,HOU,SEA,1,88,-13.0817,53,-5.5294,35,-7.5523,36,78,-5.406
2013,4,2013_04_SEA_HOU,SEA,HOU,0,57,-8.7624,28,-7.3618,29,-1.4006,22,52,-15.9508
2013,4,2013_04_SF_STL,LA,SF,1,63,-24.5857,46,-17.7812,17,-6.8045,19,41,-11.1884
2013,4,2013_04_SF_STL,SF,LA,0,65,1.4064,25,4.3064,40,-2.8999,25,43,7.0284
2013,4,2013_04_WAS_OAK,LV,WAS,1,65,-21.2919,39,-15.358,26,-5.9339,23,64,-21.1838
2013,4,2013_04_WAS_OAK,WAS,LV,0,64,-6.0159,32,-2.3313,32,-3.6845,23,58,-5.6283
2013,5,2013_05_BAL_MIA,BAL,MIA,0,73,-2.1641,34,4.2271,39,-6.3912,31,73,-2.1641
2013,5,2013_05_BAL_MIA,MIA,BAL,1,56,-7.5875,45,-0.5126,11,-7.0749,18,56,-7.5875
2013,5,2013_05_BUF_CLE,BUF,CLE,0,75,-7.369,44,-12.3222,31,4.9532,28,66,-6.9404
2013,5,2013_05_BUF_CLE,CLE,BUF,1,63,-1.1179,33,0.7995,30,-1.9174,22,63,-1.1179
2013,5,2013_05_CAR_ARI,ARI,CAR,1,55,-6.7585,30,-2.7011,25,-4.0574,24,52,-8.8351
2013,5,2013_05_CAR_ARI,CAR,ARI,0,66,-20.804,46,-19.9691,20,-0.8349,28,61,-18.6421
2013,5,2013_05_DEN_DAL,DAL,DEN,1,55,25.0348,40,26.1828,15,-1.1481,29,55,25.0348
2013,5,2013_05_DEN_DAL,DEN,DAL,0,71,30.3978,42,27.8658,29,2.532,45,71,30.3978
2013,5,2013_05_DET_GB,DET,GB,0,64,-2.1599,46,-1.0849,18,-1.075,25,45,-5.779
2013,5,2013_05_DET_GB,GB,DET,1,63,8.7674,31,6.3985,32,2.3689,26,46,6.4757
2013,5,2013_05_HOU_SF,HOU,SF,0,71,-21.0994,41,-14.4266,30,-6.6728,25,33,-9.2246
2013,5,2013_05_HOU_SF,SF,HOU,1,49,6.1701,16,3.4071,33,2.763,20,21,5.257
2013,5,2013_05_JAX_STL,JAX,LA,0,59,-17.5262,34,-13.6961,25,-3.8301,22,55,-13.049
2013,5,2013_05_JAX_STL,LA,JAX,1,69,1.7627,36,4.6038,33,-2.8411,30,64,3.1109
2013,5,2013_05_KC_TEN,KC,TEN,0,67,-6.1927,41,-6.1445,26,-0.0482,28,67,-6.1927
2013,5,2013_05_KC_TEN,TEN,KC,1,65,-10.4296,44,-8.4645,21,-1.9651,23,55,-12.3472
2013,5,2013_05_NE_CIN,CIN,NE,1,68,-1.5978,31,-1.436,37,-0.1618,27,68,-1.5978
2013,5,2013_05_NE_CIN,NE,CIN,0,59,-13.9053,41,-8.2131,18,-5.6922,21,59,-13.9053
2013,5,2013_05_NO_CHI,CHI,NO,1,55,3.0552,36,0.8985,19,2.1567,26,49,-4.2533
2013,5,2013_05_NO_CHI,NO,CHI,0,65,8.8248,36,16.2965,29,-7.4717,28,48,12.7247
2013,5,2013_05_NYJ_ATL,ATL,NYJ,1,69,6.7478,47,13.2473,22,-6.4994,35,68,6.1408
2013,5,2013_05_NYJ_ATL,NYJ,ATL,0,46,9.6115,24,9.6097,22,0.0018,21,46,9.6115
2013,5,2013_05_PHI_NYG,NYG,PHI,1,70,-8.2976,53,-2.5596,17,-5.738,31,59,-4.3981
2013,5,2013_05_PHI_NYG,PHI,NYG,0,75,10.4734,40,9.501,35,0.9724,33,69,11.2298
2013,5,2013_05_SD_OAK,LAC,LV,0,69,-0.0099,50,13.5764,19,-13.5863,34,60,-7.4437
2013,5,2013_05_SD_OAK,LV,LAC,1,53,4.2207,27,5.8031,26,-1.5825,24,45,8.2924
2013,5,2013_05_SEA_IND,IND,SEA,1,60,3.7875,33,2.79,27,0.9975,27,60,3.7875
2013,5,2013_05_SEA_IND,SEA,IND,0,67,13.7325,33,6.6766,34,7.0559,30,67,13.7325
2013,6,2013_06_ARI_SF,ARI,SF,0,64,-5.6528,43,-8.0944,21,2.4416,27,54,-3.7021
2013,6,2013_06_ARI_SF,SF,ARI,1,68,-0.3863,31,-1.1659,37,0.7796,31,62,2.927
2013,6,2013_06_CAR_MIN,CAR,MIN,0,63,23.2974,27,20.9249,36,2.3725,32,40,19.3438
2013,6,2013_06_CAR_MIN,MIN,CAR,1,60,-12.5129,47,-10.5455,13,-1.9674,24,31,-7.5512
2013,6,2013_06_CIN_BUF,BUF,CIN,1,68,3.5112,37,2.9551,31,0.5561,30,68,3.5112
2013,6,2013_06_CIN_BUF,CIN,BUF,0,82,16.0393,43,15.8078,39,0.2315,40,73,18.9851
2013,6,2013_06_DET_CLE,CLE,DET,1,65,-2.2081,44,-4.4924,21,2.2843,32,54,-1.7751
2013,6,2013_06_DET_CLE,DET,CLE,0,71,11.2585,44,10.1946,27,1.064,32,68,8.5894
2013,6,2013_06_GB_BAL,BAL,GB,1,61,-8.6924,39,3.1936,22,-11.8859,17,60,-13.2142
2013,6,2013_06_GB_BAL,GB,BAL,0,63,5.2592,35,3.8458,28,1.4134,28,63,5.2592
2013,6,2013_06_IND_SD,IND,LAC,0,48,-2.2252,31,-3.5128,17,1.2876,24,44,-1.2316
2013,6,2013_06_IND_SD,LAC,IND,1,72,4.8622,35,6.7784,37,-1.9162,31,67,6.9503
2013,6,2013_06_JAX_DEN,DEN,JAX,1,69,8.8258,42,10.805,27,-1.9792,31,62,10.6857
2013,6,2013_06_JAX_DEN,JAX,DEN,0,72,-8.984,45,1.1435,27,-10.1275,31,56,-7.616
2013,6,2013_06_NO_NE,NE,NO,1,82,2.1884,47,4.2721,35,-2.0837,33,82,2.1884
2013,6,2013_06_NO_NE,NO,NE,0,63,9.3299,37,6.5867,26,2.7432,27,63,9.3299
2013,6,2013_06_NYG_CHI,CHI,NYG,1,65,7.6637,36,8.5113,29,-0.8476,33,58,8.9627
