Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
56,5180096316,stickymeatflowers (2/2),0,109.6,1B Jonathan Aranda 2B Matt McLain 3B Junior Caminero C William Contreras OF Chandler Simpson OF Cedric Mullins OF Victor Mesa Jr. P Max Meyer P Shane McClanahan SS Geraldo Perdomo,,Andrew Vaughn,1B,5.47%,9
57,5180106368,Kickes,0,109.15,1B TJ Rumfield 2B Ketel Marte 3B Junior Caminero C Tyler Stephenson OF Kody Clemens OF Taylor Trammell OF Noelvi Marte P Max Meyer P Andrew Abbott SS Mookie Betts,,Jose Altuve,2B,5.26%,7
58,5180060517,rboat1,0,108.95,1B Freddie Freeman 2B Ketel Marte 3B Javier Sanoja C Liam Hicks OF Lourdes Gurriel Jr. OF Cam Smith OF Shohei Ohtani P Shane McClanahan P Jack Dreyer SS Otto Lopez,,Richie Palacios,2B,5.26%,0
59,5180078254,Wanna_Square_Up1567 (6/14),0,108.3,1B Josh Bell 2B Kody Clemens 3B Javier Sanoja C Liam Hicks OF Heriberto Hernandez OF Esteury Ruiz OF Lane Thomas P Taj Bradley P Andrew Abbott SS Otto Lopez,,Yandy Diaz,1B,5.05%,0
60,5180078249,Wanna_Square_Up1567 (1/14),0,107.6,1B Yandy Diaz 2B Alex Freeland 3B Junior Caminero C Ivan Herrera OF Cedric Mullins OF Victor Mesa Jr. OF Shohei Ohtani P Taj Bradley P Shane Drohan SS Taylor Walls,,Kyle Freeland,P,4.84%,21.05
61,5180086804,Ryan61389,0,106.95,1B Freddie Freeman 2B Jose Altuve 3B Brooks Lee C Gabriel Moreno OF Michael Harris II OF Spencer Steer OF Henry Bolte P Max Meyer P Taj Bradley SS Geraldo Perdomo,,Mickey Moniak,OF,4.84%,33
62,5180066049,ellisac1 (6/14),0,106.75,1B Nick Kurtz 2B Joshua Kuroda-Grauer 3B Brooks Lee C Brian Navarreto OF Heriberto Hernandez OF Esteury Ruiz OF Trevor Larnach P Shane McClanahan P Taj Bradley SS Otto Lopez,,Josh Bell,1B,4.84%,18
62,5180087571,FoxyGrandpa252 (5/12),0,106.75,1B Jonathan Aranda 2B Richie Palacios 3B Junior Caminero C Brian Navarreto OF Heriberto Hernandez OF Esteury Ruiz OF Chandler Simpson P Shane McClanahan P Taj Bradley SS Taylor Walls,,Matt Olson,1B,4.84%,0
64,5180086985,ivymoose (1/4),0,105.6,1B Jonathan Aranda 2B Richie Palacios 3B Junior Caminero C Brian Navarreto OF Lane Thomas OF Cedric Mullins OF Shohei Ohtani P Taj Bradley P Shane Drohan SS Taylor Walls,,Lane Thomas,OF,4.63%,0
64,5180098576,jstegs,0,105.6,1B Yandy Diaz 2B Ozzie Albies 3B Nolan Arenado C Liam Hicks OF Michael Harris II OF Tommy Edman OF Cedric Mullins P Max Meyer P Shane McClanahan SS Cooper Pratt,,Sal Stewart,3B,4.63%,3
66,5180068856,beisbol7,0,105.5,1B Freddie Freeman 2B Ozzie Albies 3B Isaac Paredes C Hunter Goodman OF Kody Clemens OF Mauricio Dubon OF Tommy Troy P Max Meyer P Tatsuya Imai SS Cooper Pratt,,Taylor Trammell,OF,4.42%,2
67,5180072515,Prestonite (10/14),0,105.15,1B Freddie Freeman 2B Ketel Marte 3B Javier Sanoja C Jonah Heim OF Andy Pages OF Tommy Edman OF Mauricio Dubon P Tatsuya Imai P Shane Drohan SS Mookie Betts,,Ivan Johnson,2B,4.42%,0
68,5180107035,bamakirk,0,104.95,1B Matt Olson 2B Ozzie Albies 3B Isaac Paredes C Jonah Heim OF Spencer Steer OF Lars Nootbaar OF Lane Thomas P Max Meyer P Taj Bradley SS Bobby Witt Jr.,,Tyler Stephenson,C,4.42%,10
69,5180077327,Swidb (6/14),0,104.65,1B Nick Kurtz 2B Jeff McNeil 3B Max Muncy C Shea Langeliers OF Andy Pages OF Mickey Moniak OF Henry Bolte P Tatsuya Imai P Kyle Freeland SS Alika Williams,,Jake Bauers,OF,4.42%,2
70,5180083431,Gator4399,0,104.3,1B Pavin Smith 2B Luis Arraez 3B Junior Caminero C Victor Caratini OF Jackson Chourio OF Mickey Moniak OF Jung Hoo Lee P Shane McClanahan P Tatsuya Imai SS Masyn Winn,,Brice Turang,2B,4.21%,9
71,5180068319,BSMITTYFIREMAN,0,104.15,1B Rafael Devers 2B Ketel Marte 3B Javier Sanoja C Victor Caratini OF Heriberto Hernandez OF Esteury Ruiz OF Trevor Larnach P Max Meyer P Andrew Abbott SS Otto Lopez,,Mookie Betts,SS,4.21%,0
72,5180072514,Prestonite (9/14),0,103.95,1B Sal Stewart 2B Joshua Kuroda-Grauer 3B Yandy Diaz C Jonah Heim OF Andy Pages OF Tommy Edman OF Colby Thomas P Max Meyer P Taj Bradley SS Otto Lopez,,Elly De La Cruz,SS,4.21%,6
